valid_at,Zona Belvedere_pm2p5,Zona Ex Pesa_pm2p5,Via Ragazzi del 99_pm2p5,Chimica Casearia_pm2p5,Zona Belvedere_pm10,Zona Ex Pesa_pm10,Via Ragazzi del 99_pm10,Chimica Casearia_pm10
2021-07-16,15.367840641731698,11.582842352885455,11.979291860752001,3.7698646459530507,19.70235979709192,14.849797888314685,15.35806648814359,4.833159802503911
2021-07-17,19.388219109820035,17.4966741555715,17.156112956685927,3.7698646459530507,24.85669116643594,22.431633532783973,21.995016611135803,4.833159802503911
2021-07-18,10.716835801599492,9.977363901384651,10.860313719521471,3.7698646459530507,13.739533078973707,12.791492181262372,13.923479127591628,4.833159802503911
2021-07-19,10.815168257582085,8.831263775420112,15.32681568997071,3.7698646459530507,13.865600330233441,11.322133045410398,20.141404578269093,4.833159802503911
2021-07-20,12.159159085793268,9.768881962833195,18.428321608324378,7.181410921994349,15.588665494606753,12.524207644657942,24.676017164613615,9.206937079479934
2021-07-21,11.390264895449084,8.7806083862604,13.669720150020211,9.611795589643565,14.602903712114209,11.257190238795385,17.525282243615653,12.32281485851739
2021-07-22,12.496449197145013,10.030446499607601,10.919838094675123,11.739490492941167,16.021088714288478,12.859546794368718,13.99979242907067,15.050628837104059
2021-07-23,14.645101954807865,10.942181274797264,13.623940680135371,11.760500405294385,18.77577173693316,14.028437531791363,17.466590615558168,15.077564622172288
2021-07-24,18.919469108773193,14.833076608928465,16.28141423961736,15.939738645049728,24.255729626632295,19.01676488324162,20.87360799950943,20.435562365448366
2021-07-25,13.619266152018048,10.713133638852577,12.259429845886983,11.21460283973448,17.460597630792368,13.734786716477661,15.717217751137156,14.377695948377538
2021-07-26,13.273670228850243,10.128284767476163,11.89744528572855,10.962748917141427,17.017525934423386,12.984980471123285,15.253134981703267,14.054806304027469
2021-07-27,16.01465130834293,11.2324274947838,11.366911468756095,12.759400339092686,20.531604241465292,14.400548070235638,14.572963421482171,16.35820556293934
2021-07-28,12.17714016980778,10.348974988324423,11.86395785797057,10.984735469856835,15.611718166420228,13.267916651697977,15.21020238201355,14.082994192124145
2021-07-29,15.759238799673746,13.569254967220148,16.39197442026955,13.887699459428289,20.204152307274033,17.39648072720532,21.015351820858392,17.804742896702933
2021-07-30,18.521641873130235,17.513550863952226,18.36150929351516,17.17052893998312,23.745694709141326,22.453270338400287,23.54039653014764,22.013498641004
2021-07-31,15.609911372488638,15.158539818407414,18.38588641126883,14.183716096957886,20.012706887805944,19.43402540821463,23.57164924521645,18.18425140635626
2021-08-01,12.825243638398762,8.47018602729281,10.06582083050976,8.71088860788756,16.44262004922918,10.859212855503602,12.904898500653536,11.167805907548152
2021-08-02,9.819472216651606,6.321722302730159,8.771341262769818,6.299005145349821,12.589066944425134,8.104772182987382,11.245309311243355,8.075647622243359
2021-08-03,8.767083497896142,6.933621513521564,7.629005934164659,6.982526246298604,11.239850638328386,8.88925835066867,9.780776838672638,8.95195672602385
2021-08-04,11.116832874044098,8.51781976352847,8.897416473217817,8.051412896549296,14.252349838518073,10.920281748113423,11.406944196433097,10.32232422634525
2021-08-05,6.38724429668406,5.279222612837148,5.321217133289888,5.065621504172829,8.188774739338538,6.768234119021984,6.822073247807548,6.494386543811318
2021-08-06,9.72512511511644,5.989800804977659,7.086272809588688,6.536807061789723,12.468109121944153,7.679231801253409,9.084965140498317,8.380521874089387
2021-08-07,7.190586130067543,5.720687915672667,6.411735879965385,6.14287569307395,9.21870016675326,7.334215276503419,8.220174205083826,7.875481657787115
2021-08-08,6.5730639903584605,5.060637355610634,6.246496192837456,4.980155646625909,8.42700511584418,6.487996609757222,8.008328452355713,6.384814931571678
2021-08-09,6.1199898571345805,4.8368541122672015,9.689088878301527,5.742697139063375,7.846140842480231,6.201095015727181,13.17270751130752,7.362432229568428
2021-08-10,14.172685723965614,9.828520024640918,17.038216638369537,10.169950164473471,18.170109902520018,12.600666698257585,21.84386748508915,13.03839764676086
2021-08-11,17.317607178523474,14.046867342786916,15.568048447163227,16.47643283003435,22.202060485286502,18.00880428562425,19.959036470722083,21.12363183337737
2021-08-12,19.415110838942336,14.246518858301009,15.626347850607976,15.571677399633016,24.891167742233762,18.264767767052575,20.03377929565125,19.96368897388848
2021-08-13,23.739312363698133,17.344357196491135,18.257137181908956,18.47971410886366,30.435015850895038,22.236355380116837,23.406586130652506,23.69194116520982
2021-08-14,25.142464084308013,16.720264110152275,19.65421814674176,20.659435217306882,32.2339283132154,21.436236038656762,25.197715572745842,26.486455406803692
2021-08-15,23.505537732976904,18.043209610560286,19.71163929531848,20.072067330555072,30.135304785867824,23.132320013538827,25.271332429895487,25.733419654557782
2021-08-16,12.33361254658171,11.013567224068693,12.011120092820114,12.18370226397578,15.812323777668858,14.119957979575245,15.39887191387194,15.620131107661255
2021-08-17,3.290919589814925,2.8204154589752775,7.685637786363198,5.947008461807695,4.240581720449465,3.6159172550965093,11.340725613661446,8.38667739817088
2021-08-18,3.675889397776499,2.887581868896677,6.683150135801441,3.87218332820751,4.712678715098075,3.7020280370470213,9.405640666645285,4.964337600266038
2021-08-19,8.644384114973041,5.644669872488007,7.005331194291646,6.031164556437461,11.082543737144924,7.236756246779495,8.981193838835443,7.732262251842898
2021-08-20,8.031585704250928,5.562473382689135,8.055940466010039,6.427092789230609,10.29690474903965,7.131376131652737,10.328128802576972,8.239862550295651
2021-08-21,13.23384299340636,8.735308442541006,10.083356342349228,9.802832203536143,16.966465376162,11.199113387873084,12.927379926088753,12.567733594277104
